Sun Feb 13 00:57:09 UTC 2011 last login 7 hrs ago Palermo, Sicily, Italy ... 
Sun Feb 13 06:00:01 UTC 2011 last login 14 hrs ago Palermo, Sicily, Italy ... 
Sun Feb 13 12:00:01 UTC 2011 last login 14 hrs ago Palermo, Sicily, Italy ... 
Sun Feb 13 18:00:01 UTC 2011 last login 14 hrs ago Palermo, Sicily, Italy ... 
Mon Feb 14 00:00:01 UTC 2011 last login 14 hrs ago Palermo, Sicily, Italy ... 
Mon Feb 14 06:00:01 UTC 2011 last login 14 hrs ago Palermo, Sicily, Italy ... 
Mon Feb 14 12:00:01 UTC 2011 last login 14 hrs ago Palermo, Sicily, Italy ... 
Mon Feb 14 18:00:01 UTC 2011 last login 25 mins ago sailing from the UK to the Mediterranean, Bologna, via Ireland, with friends joining me from Emilia-Romagna, Italy ... 
Tue Feb 15 00:00:01 UTC 2011 last login 4 hrs ago sailing from the UK to the Mediterranean, Bologna, via Ireland, with friends joining me from Emilia-Romagna, Italy ... 
Tue Feb 15 06:00:01 UTC 2011 last login 4 hrs ago sailing from the UK to the Mediterranean, Bologna, via Ireland, with friends joining me from Emilia-Romagna, Italy ... 
Tue Feb 15 12:00:01 UTC 2011 last login 39 mins ago via Ireland, with friends joining me from Camposampiero, Veneto, Italy ... 
Tue Feb 15 18:00:01 UTC 2011 last login 1 hour ago sailing from the UK to the Mediterranean, Bologna, via Ireland, with friends joining me from Emilia-Romagna, Italy ... 
Wed Feb 16 00:00:01 UTC 2011 last login 1 hour ago sailing from the UK to the Mediterranean, Bologna, via Ireland, with friends joining me from Emilia-Romagna, Italy ... 
Wed Feb 16 06:00:01 UTC 2011 last login 1 hour ago sailing from the UK to the Mediterranean, Bologna, via Ireland, with friends joining me from Emilia-Romagna, Italy ... 
Wed Feb 16 12:00:01 UTC 2011 last login 1 hour ago sailing from the UK to the Mediterranean, Bologna, via Ireland, with friends joining me from Emilia-Romagna, Italy ... 
Wed Feb 16 18:00:01 UTC 2011 last login 1 hour ago Bologna, Emilia-Romagna, Italy ...
Thu Feb 17 00:00:01 UTC 2011 last login 1 hour ago Bologna, Emilia-Romagna, Italy ...
Thu Feb 17 06:00:01 UTC 2011 last login 1 hour ago Bologna, Emilia-Romagna, Italy ...
Thu Feb 17 12:00:01 UTC 2011 last login 1 hour ago Bologna, Emilia-Romagna, Italy ...
Thu Feb 17 18:00:01 UTC 2011 last login 2 hrs ago Bologna, Emilia-Romagna, Italy ...
Fri Feb 18 00:00:01 UTC 2011 last login 2 hrs ago Bologna, Emilia-Romagna, Italy ...
Fri Feb 18 06:00:01 UTC 2011 last login 14 hrs ago Bologna, Emilia-Romagna, Italy ...
Fri Feb 18 12:00:01 UTC 2011 last login 14 hrs ago Bologna, Emilia-Romagna, Italy ...
Fri Feb 18 18:00:01 UTC 2011 last login 2 hrs ago Badia Polesine, Veneto, Italy ...
Sat Feb 19 00:00:01 UTC 2011 last login 6 hrs ago Badia Polesine, Veneto, Italy ...
Sat Feb 19 06:00:01 UTC 2011 last login 6 hrs ago Badia Polesine, Veneto, Italy ...
Sat Feb 19 12:00:01 UTC 2011 last login 7 mins ago Bologna, Emilia-Romagna, Italy ...
Sat Feb 19 18:00:01 UTC 2011 last login 2 hrs ago Campello sul Clitunno, Umbria, Italy ...
Sun Feb 20 00:00:01 UTC 2011 last login 2 hrs ago Campello sul Clitunno, Umbria, Italy ...
Sun Feb 20 06:00:01 UTC 2011 last login 2 hrs ago Campello sul Clitunno, Umbria, Italy ...
Sun Feb 20 12:00:01 UTC 2011 last login 2 hrs ago Campello sul Clitunno, Umbria, Italy ...
Sun Feb 20 18:00:01 UTC 2011 last login 2 hrs ago Villadose, Veneto, Italy ...
Mon Feb 21 00:00:01 UTC 2011 last login 2 hrs ago Villadose, Veneto, Italy ...
Mon Feb 21 06:00:01 UTC 2011 last login 2 hrs ago Villadose, Veneto, Italy ...
Mon Feb 21 12:00:01 UTC 2011 last login 2 hrs ago Villadose, Veneto, Italy ...
Mon Feb 21 18:00:01 UTC 2011 last login 2 hrs ago Bologna, Emilia-Romagna, Italy ...
Tue Feb 22 00:00:01 UTC 2011 last login 2 hrs ago Bologna, Emilia-Romagna, Italy ...
Tue Feb 22 06:00:01 UTC 2011 last login 2 hrs ago Bologna, Emilia-Romagna, Italy ...
Tue Feb 22 12:00:01 UTC 2011 last login 2 hrs ago Bologna, Emilia-Romagna, Italy ...
Tue Feb 22 18:00:01 UTC 2011 last login 26 hrs ago Bologna, Emilia-Romagna, Italy ...
Wed Feb 23 00:00:02 UTC 2011 last login 26 hrs ago Bologna, Emilia-Romagna, Italy ...
Wed Feb 23 06:00:02 UTC 2011 last login 26 hrs ago Bologna, Emilia-Romagna, Italy ...
Wed Feb 23 12:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Wed Feb 23 18:00:01 UTC 2011 last login 36 mins ago Fontana, Emilia-Romagna, Italy ...
Thu Feb 24 00:00:01 UTC 2011 last login 36 mins ago Fontana, Emilia-Romagna, Italy ...
Thu Feb 24 06:00:01 UTC 2011 last login 36 mins ago Fontana, Emilia-Romagna, Italy ...
Thu Feb 24 12:00:01 UTC 2011 last login 36 mins ago Fontana, Emilia-Romagna, Italy ...
Thu Feb 24 18:00:01 UTC 2011 last login 8 secs ago Bologna, Emilia-Romagna, Italy ...
Fri Feb 25 00:00:01 UTC 2011 last login 8 secs ago Bologna, Emilia-Romagna, Italy ...
Fri Feb 25 06:00:01 UTC 2011 last login 8 secs ago Bologna, Emilia-Romagna, Italy ...
Fri Feb 25 12:00:01 UTC 2011 last login 8 secs ago Bologna, Emilia-Romagna, Italy ...
Fri Feb 25 18:00:01 UTC 2011 last login 8 secs ago Bologna, Emilia-Romagna, Italy ...
Sat Feb 26 00:00:01 UTC 2011 last login 8 secs ago Bologna, Emilia-Romagna, Italy ...
Sat Feb 26 06:00:01 UTC 2011 last login 8 secs ago Bologna, Emilia-Romagna, Italy ...
Sat Feb 26 12:00:01 UTC 2011 last login 8 secs ago Bologna, Emilia-Romagna, Italy ...
Sat Feb 26 18:00:01 UTC 2011 last login 8 secs ago Bologna, Emilia-Romagna, Italy ...
Sun Feb 27 00:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Sun Feb 27 06:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Sun Feb 27 12:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Sun Feb 27 18:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Mon Feb 28 00:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Mon Feb 28 06:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Mon Feb 28 12:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Mon Feb 28 18:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Tue Mar  1 00:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Tue Mar  1 06:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Tue Mar  1 12:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Tue Mar  1 18:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Wed Mar  2 00:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Wed Mar  2 06:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Wed Mar  2 12:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Wed Mar  2 18:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Thu Mar  3 00:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Thu Mar  3 06:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Thu Mar  3 12:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Thu Mar  3 18:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Fri Mar  4 00:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
Fri Mar  4 06:00:01 UTC 2011 last login 2 days ago Bologna, Emilia-Romagna, Italy ...
